iter	Passed	Remaining
0	83	16556
1	88	8749
2	92	6098
3	98	4834
4	102	3998
5	107	3478
6	112	3104
7	117	2824
8	122	2603
9	127	2430
10	132	2284
11	138	2165
12	143	2064
13	149	1981
14	154	1901
15	158	1822
16	164	1768
17	168	1708
18	174	1659
19	180	1622
20	185	1579
21	190	1540
22	196	1510
23	200	1468
24	205	1437
25	210	1411
26	215	1382
27	220	1354
28	225	1329
29	230	1307
30	237	1292
31	241	1270
32	247	1250
33	252	1230
34	256	1210
35	262	1195
36	267	1177
37	272	1159
38	277	1143
39	282	1128
40	288	1117
41	292	1101
42	298	1088
43	304	1078
44	308	1064
45	313	1051
46	319	1041
47	325	1030
48	329	1016
49	335	1006
50	340	995
51	345	984
52	351	973
53	356	962
54	361	953
55	366	943
56	372	934
57	378	927
58	383	917
59	389	907
60	394	899
61	399	889
62	404	879
63	409	870
64	415	862
65	419	852
66	425	845
67	430	836
68	435	826
69	441	819
70	445	809
71	450	801
72	456	793
73	462	787
74	467	778
75	472	771
76	478	763
77	482	755
78	494	757
79	501	752
80	508	746
81	517	744
82	525	740
83	532	735
84	545	738
85	551	730
86	564	732
87	574	731
88	581	725
89	589	720
90	608	728
91	624	732
92	669	770
93	692	780
94	699	772
95	727	788
96	745	792
97	764	796
98	777	792
99	793	793
100	804	788
101	811	779
102	824	776
103	838	773
104	853	771
105	860	762
106	876	761
107	887	756
108	893	745
109	906	741
110	921	739
111	931	731
112	952	733
113	966	729
114	987	729
115	1038	752
116	1086	770
117	1101	765
118	1111	756
119	1120	746
120	1134	740
121	1154	737
122	1165	729
123	1179	722
124	1186	711
125	1202	706
126	1215	698
127	1220	686
128	1231	677
129	1237	666
130	1245	656
131	1250	644
132	1262	635
133	1268	624
134	1279	615
135	1288	606
136	1293	594
137	1298	583
138	1303	572
139	1310	561
140	1315	550
141	1321	539
142	1327	529
143	1332	518
144	1351	512
145	1362	503
146	1370	494
147	1375	483
148	1380	472
149	1393	464
150	1398	453
151	1408	444
152	1413	434
153	1421	424
154	1430	415
155	1442	406
156	1448	396
157	1456	387
158	1461	376
159	1470	367
160	1476	357
161	1484	348
162	1491	338
163	1497	328
164	1519	322
165	1527	312
166	1535	303
167	1540	293
168	1546	283
169	1552	274
170	1558	264
171	1562	254
172	1568	244
173	1573	235
174	1578	225
175	1584	216
176	1589	206
177	1593	196
178	1599	187
179	1604	178
180	1609	168
181	1614	159
182	1619	150
183	1624	141
184	1629	132
185	1634	123
186	1639	113
187	1645	105
188	1650	96
189	1654	87
190	1659	78
191	1664	69
192	1669	60
193	1673	51
194	1679	43
195	1684	34
196	1688	25
197	1695	17
198	1700	8
199	1704	0
